Cactus,Vegetarian
8.0,12.1
7.5,12.6
7.6,12.7
7.2,11.9
7.5,11.8
8.7,12.0
8.4,12.3
8.0,11.7
8.6,13.0
7.9,11.9
8.5,12.6
8.1,11.7
7.7,12.0
7.9,12.4
7.3,11.5
8.1,12.0
8.2,12.3
7.9,12.1
7.7,11.7
8.1,12.2
8.7,12.8
8.1,11.5
7.8,11.6
8.5,12.7
8.6,11.6
8.2,12.4
8.0,12.3
7.3,12.4
7.7,12.7
7.6,12.6
8.4,12.3
8.0,11.4
8.3,11.5
8.1,12.2
8.1,11.4
8.5,11.9
8.6,12.3
7.7,12.3
7.8,11.8
7.2,11.5
8.8,12.0
7.5,12.8
7.8,12.0
8.2,11.9
7.8,12.1
7.8,12.2
7.8,11.5
7.8,12.6
8.3,12.6
7.6,12.0
8.4,11.8
7.7,11.7
7.8,11.9
9.3,12.0
7.4,11.6
7.6,12.0
8.2,11.3
7.1,12.0
7.8,12.0
8.3,11.7
7.4,11.6
8.3,11.7
8.1,12.2
7.4,12.6
7.4,12.4
7.4,12.0
8.2,11.5
9.0,11.8
9.4,12.2
7.5,12.6
7.5,12.6
8.4,11.4
7.1,12.9
7.9,12.3
8.0,12.3
8.3,12.2
8.1,12.4
7.7,11.3
6.4,12.6
7.6,12.7
8.1,11.4
8.7,12.2
8.3,12.5
8.2,12.4
8.1,11.8
8.3,11.4
7.5,12.1
7.4,12.7
7.7,12.3
7.5,11.4
7.7,12.1
7.8,11.9
6.8,11.4
8.8,11.1
7.5,12.3
7.8,11.8
8.0,12.9
7.9,11.2
7.2,12.3
7.6,12.2
